<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C67740B30>,160.42691879999998
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,18.08001
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,103.23395640000001
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,258.09733
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,139.0468978
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,50.8603592
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,7.7936651999999995
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,104.7708243
TOKEN,SELL,LIMIT,IOC,83,0.0698083,0.0707300,FILLED,83,83,1723219707474,5.7940889
PEOPLE,BUY,LIMIT,IOC,17804,0.05974,0.05887,FILLED,11918,17804,1723219840768,1063.61096
MEW,BUY,LIMIT,IOC,19569,0.0052116,0.0051350,FILLED,19569,19569,1723219843300,101.9858004
ZETA,BUY,LIMIT,IOC,12,0.502132,0.495600,FILLED,12,12,1723219850287,6.025584
TIAUSDC,BUY,LIMIT,IOC,107,5.7019658,5.6676448,FILLED,73,107,1723219856170,610.1103406
ADA,BUY,LIMIT,IOC,559,0.34450,0.34290,FILLED,478,559,1723219856541,192.57549999999998
MEW,BUY,LIMIT,IOC,54510,0.0052194,0.0051480,FILLED,54510,54510,1723219857087,284.509494
MEW,BUY,LIMIT,IOC,2204,0.0052238,0.0051490,FILLED,2204,2204,1723219858123,11.5132552
TIA,BUY,LIMIT,IOC,6,5.7181062,5.6674000,FILLED,6,6,1723219858231,34.3086372
1000BONK,BUY,LIMIT,IOC,4937,0.0204620,0.0201590,FILLED,1414,4937,1723219871239,101.020894
TOKEN,SELL,LIMIT,IOC,9083,0.0701055,0.0711446,FILLED,3387,9083,1723219873046,636.7682565
TIA,BUY,LIMIT,IOC,24,5.7360329,5.6788000,FILLED,24,24,1723219894339,137.6647896
NOT,BUY,LIMIT,IOC,538,0.0117262,0.0115530,FILLED,538,538,1723219898151,6.3086956
TIA,BUY,LIMIT,IOC,20,5.7398300,5.6847000,FILLED,20,20,1723219899523,114.79660000000001
SOL,BUY,LIMIT,IOC,21,152.7556,152.0853,FILLED,17,21,1723219900060,3207.8675999999996
WLD,BUY,LIMIT,IOC,3,1.7170023,1.7075000,FILLED,3,3,1723219900264,5.1510069000000005
1000FLOKI,BUY,LIMIT,IOC,240,0.1272437,0.1254495,FILLED,28,240,1723219901253,30.538487999999997
JTO,BUY,LIMIT,IOC,13,2.807020,2.768200,FILLED,13,13,1723219901466,36.491260000000004
WLD,BUY,LIMIT,IOC,567,1.7175279,1.7079463,FILLED,244,567,1723219901511,973.8383193000001
JTO,BUY,LIMIT,IOC,1814,2.808199,2.767068,FILLED,37,1814,1723219903438,5094.072986
TIA,BUY,LIMIT,IOC,17,5.7419544,5.6840000,FILLED,17,17,1723219903483,97.6132248
TOKEN,BUY,LIMIT,IOC,84,0.0726606,0.0716200,FILLED,84,84,1723219935254,6.1034904
NOT,BUY,LIMIT,IOC,20854,0.0117779,0.0116010,FILLED,20854,20854,1723220150082,245.61632659999998
TOKEN,BUY,LIMIT,IOC,6444,0.0743792,0.0732700,FILLED,6444,6444,1723220163169,479.29956480000004
TOKEN,BUY,LIMIT,IOC,7555,0.0742183,0.0731692,FILLED,6989,7555,1723220315487,560.7192565
TON,SELL,LIMIT,IOC,47.6,6.6363894,6.7352861,FILLED,2.2,47.6,1723220323222,315.89213544
SOL,BUY,LIMIT,IOC,19,152.9052,152.1560,FILLED,19,19,1723220340223,2905.1988
ETH,BUY,LIMIT,IOC,1.344,2589.50,2580.68,FILLED,0.359,1.344,1723220342301,3480.288
BTC,BUY,LIMIT,IOC,0.005,60252.15,60038.70,FILLED,0.005,0.005,1723220342326,301.26075000000003
1000PEPE,BUY,LIMIT,IOC,20088,0.0084776,0.0084296,FILLED,20088,20088,1723220342361,170.2980288
1000FLOKI,BUY,LIMIT,IOC,5000,0.1276464,0.1258000,FILLED,869,5000,1723220342492,638.232
SOL,BUY,LIMIT,IOC,3,152.9606,152.3600,FILLED,3,3,1723220342492,458.8818
SUI,BUY,LIMIT,IOC,604.9,0.861094,0.853100,FILLED,231.7,604.9,1723220342594,520.8757606
HBAR,BUY,LIMIT,IOC,9117,0.05676,0.05600,FILLED,7517,9117,1723220342594,517.48092
SAGA,BUY,LIMIT,IOC,714.9,1.2773113,1.2588537,FILLED,65.1,714.9,1723220343134,913.14984837
AVAX,BUY,LIMIT,IOC,7,21.6378,21.5370,FILLED,7,7,1723220343407,151.4646
ETH,BUY,LIMIT,IOC,0.071,2589.64,2580.37,FILLED,0.071,0.071,1723220343447,183.86443999999997
BTC,BUY,LIMIT,IOC,0.007,60283.24,60044.20,FILLED,0.007,0.007,1723220355148,421.98268
REZ,BUY,LIMIT,IOC,1955,0.0506510,0.0499100,FILLED,877,1955,1723220387292,99.022705
ZEC,SELL,LIMIT,IOC,2.065,38.48,39.02,FILLED,2.065,2.065,1723220407106,79.46119999999999
BTC,BUY,LIMIT,IOC,0.057,60289.47,60070.60,FILLED,0.041,0.057,1723220414135,3436.4997900000003
BTCUSDC,BUY,LIMIT,IOC,0.003,60306.2,60075.1,FILLED,0.003,0.003,1723220414246,180.9186
BTC,BUY,LIMIT,IOC,0.009,60304.39,60080.10,FILLED,0.009,0.009,1723220415397,542.73951
BTC,BUY,LIMIT,IOC,0.175,60322.34,60090.10,FILLED,0.159,0.175,1723220416426,10556.409499999998
BTCUSDC,BUY,LIMIT,IOC,0.038,60328.8,60099.9,FILLED,0.010,0.038,1723220417403,2292.4944
BTC,BUY,LIMIT,IOC,0.108,60335.27,60098.50,FILLED,0.108,0.108,1723220418435,6516.209159999999
XRP,BUY,LIMIT,IOC,8712.3,0.5792,0.5764,FILLED,4003.4,8712.3,1723220418435,5046.16416
BTCUSDC,BUY,LIMIT,IOC,0.103,60343.0,60107.0,FILLED,0.103,0.103,1723220419276,6215.329
BTC,BUY,LIMIT,IOC,0.021,60340.58,60117.50,FILLED,0.021,0.021,1723220420354,1267.15218
BTCUSDC,BUY,LIMIT,IOC,0.002,60350.7,60133.3,FILLED,0.002,0.002,1723220421344,120.70139999999999
WIF,BUY,LIMIT,IOC,755.1,1.8135420,1.7902496,FILLED,110.7,755.1,1723220421349,1369.4055642
BTC,BUY,LIMIT,IOC,0.145,60359.77,60134.90,FILLED,0.145,0.145,1723220421370,8752.16665
XRP,BUY,LIMIT,IOC,944.2,0.5790,0.5770,FILLED,944.2,944.2,1723220421370,546.6918
SUI,BUY,LIMIT,IOC,48.4,0.863087,0.855900,FILLED,48.4,48.4,1723220421388,41.7734108
WLD,BUY,LIMIT,IOC,148,1.7267125,1.7177486,FILLED,66,148,1723220422141,255.55345000000003
ENA,BUY,LIMIT,IOC,35,0.3107441,0.3065000,FILLED,35,35,1723220422142,10.876043500000002
ETH,BUY,LIMIT,IOC,0.033,2591.34,2581.73,FILLED,0.033,0.033,1723220422230,85.51422000000001
TOKEN,BUY,LIMIT,IOC,2951,0.0744300,0.0734200,FILLED,567,2951,1723220422425,219.64292999999998
OP,BUY,LIMIT,IOC,10.7,1.3972591,1.3904000,FILLED,10.7,10.7,1723220422473,14.95067237
IO,BUY,LIMIT,IOC,1374.3,1.7021549,1.6770000,FILLED,1374.3,1374.3,1723220422486,2339.27147907
REZ,BUY,LIMIT,IOC,25935,0.0506505,0.0499899,FILLED,1304,25935,1723220422486,1313.6207175
ETH,BUY,LIMIT,IOC,0.170,2591.77,2581.36,FILLED,0.170,0.170,1723220423252,440.6009
ORDI,BUY,LIMIT,IOC,149.3,27.818866,27.642673,FILLED,35.2,149.3,1723220423420,4153.3566938
LISTA,BUY,LIMIT,IOC,200,0.3671524,0.3621000,FILLED,200,200,1723220423424,73.43048
BTC,BUY,LIMIT,IOC,0.007,60368.10,60110.70,FILLED,0.007,0.007,1723220423428,422.5767
WIF,BUY,LIMIT,IOC,7.9,1.8178937,1.7924000,FILLED,7.9,7.9,1723220427138,14.36136023
TAO,BUY,LIMIT,IOC,1.139,303.86,299.65,FILLED,0.032,1.139,1723220427350,346.09654
1000PEPE,BUY,LIMIT,IOC,112612,0.0084896,0.0084365,FILLED,69697,112612,1723220431296,956.0308352
WLD,BUY,LIMIT,IOC,158,1.7290680,1.7186000,FILLED,158,158,1723220433257,273.192744
SUI,BUY,LIMIT,IOC,289.6,0.865560,0.857500,FILLED,289.6,289.6,1723220433276,250.666176
GAS,BUY,LIMIT,IOC,44.1,3.634913,3.581000,FILLED,44.1,44.1,1723220437154,160.29966330000002
SUI,BUY,LIMIT,IOC,92.7,0.866189,0.857900,FILLED,92.7,92.7,1723220440156,80.2957203
SUI,BUY,LIMIT,IOC,142.4,0.866327,0.858100,FILLED,6.8,142.4,1723220442344,123.3649648
SUI,BUY,LIMIT,IOC,39.6,0.866891,0.859100,FILLED,39.6,39.6,1723220452304,34.3288836
1000PEPE,BUY,LIMIT,IOC,5998,0.0084933,0.0084401,FILLED,5998,5998,1723220453287,50.942813400000006
SUI,BUY,LIMIT,IOC,4713.7,0.867902,0.859457,FILLED,1100.8,4713.7,1723220456062,4091.0296573999995
IO,BUY,LIMIT,IOC,375.0,1.7050715,1.6800000,FILLED,309.4,375.0,1723220460289,639.4018125
1000BONK,BUY,LIMIT,IOC,121352,0.0205844,0.0202879,FILLED,53829,121352,1723220463095,2497.9581088
ETH,BUY,LIMIT,IOC,0.095,2592.15,2581.93,FILLED,0.095,0.095,1723220463101,246.25425
NOT,BUY,LIMIT,IOC,868,0.0118019,0.0116260,FILLED,868,868,1723220464143,10.244049200000001
BTC,BUY,LIMIT,IOC,0.250,60358.47,60121.00,FILLED,0.114,0.250,1723220464150,15089.6175
SUI,BUY,LIMIT,IOC,4698.6,0.867892,0.859304,FILLED,229.3,4698.6,1723220464150,4077.8773512000002
REZ,BUY,LIMIT,IOC,90488,0.0506565,0.0499856,FILLED,385,90488,1723220464150,4583.805372
SAGA,BUY,LIMIT,IOC,4.4,1.2804964,1.2617000,FILLED,4.4,4.4,1723220466345,5.634184160000001
SOL,BUY,LIMIT,IOC,2,153.2037,152.4870,FILLED,1,2,1723220466408,306.4074
1000PEPE,BUY,LIMIT,IOC,714,0.0085020,0.0084545,FILLED,714,714,1723220467290,6.070428
SUI,BUY,LIMIT,IOC,692.6,0.868167,0.860400,FILLED,692.6,692.6,1723220467304,601.2924642
BTC,BUY,LIMIT,IOC,0.005,60373.46,60200.10,FILLED,0.005,0.005,1723220467364,301.8673
ETH,BUY,LIMIT,IOC,0.433,2592.54,2583.37,FILLED,0.433,0.433,1723220467433,1122.56982
NEAR,BUY,LIMIT,IOC,190,4.0456,3.9890,FILLED,2,190,1723220468203,768.6640000000001
SOL,BUY,LIMIT,IOC,2,153.2728,152.6130,FILLED,2,2,1723220468258,306.5456
FIL,BUY,LIMIT,IOC,93.1,3.785,3.766,FILLED,91.7,93.1,1723220468355,352.38349999999997
SUI,BUY,LIMIT,IOC,44.5,0.868632,0.860600,FILLED,44.5,44.5,1723220468376,38.654123999999996
BTC,BUY,LIMIT,IOC,0.055,60387.68,60224.10,FILLED,0.055,0.055,1723220468392,3321.3224
WIF,BUY,LIMIT,IOC,56.2,1.8223426,1.7965000,FILLED,56.2,56.2,1723220469069,102.41565412000001
ADA,BUY,LIMIT,IOC,986,0.34538,0.34380,FILLED,986,986,1723220469186,340.54468
ETH,BUY,LIMIT,IOC,0.138,2593.49,2583.26,FILLED,0.138,0.138,1723220469286,357.90162
SAGA,BUY,LIMIT,IOC,7.2,1.2808688,1.2642000,FILLED,7.2,7.2,1723220469362,9.22225536
BAND,BUY,LIMIT,IOC,438.7,1.1364,1.1203,FILLED,34.0,438.7,1723220469377,498.53868
BTC,BUY,LIMIT,IOC,0.010,60449.19,60222.00,FILLED,0.010,0.010,1723220469439,604.4919
WIF,BUY,LIMIT,IOC,1362.3,1.8232148,1.7953508,FILLED,381.2,1362.3,1723220470355,2483.7655220399997
BTCUSDC,BUY,LIMIT,IOC,0.016,60461.6,60213.6,FILLED,0.016,0.016,1723220470466,967.3856
ETH,BUY,LIMIT,IOC,103.082,2596.97,2584.63,FILLED,9.391,103.082,1723220472125,267700.86153999995
BIGTIME,BUY,LIMIT,IOC,687,0.0870146,0.0859000,FILLED,687,687,1723220472354,59.7790302
STORJ,BUY,LIMIT,IOC,1003,0.3984,0.3907,FILLED,1003,1003,1723220473196,399.5952
ETH_241227,BUY,LIMIT,IOC,0.011,2686.57,2661.72,FILLED,0.011,0.011,1723220473217,29.55227
SAGA,BUY,LIMIT,IOC,86.1,1.2829677,1.2641000,FILLED,86.1,86.1,1723220473329,110.46351896999998
ZEC,BUY,LIMIT,IOC,3.536,39.79,39.21,FILLED,2.839,3.536,1723220474183,140.69744
1000PEPEUSDC,BUY,LIMIT,IOC,13920,0.0085769,0.0084505,FILLED,13920,13920,1723220474183,119.390448
ETH,BUY,LIMIT,IOC,0.183,2595.00,2584.83,FILLED,0.183,0.183,1723220476079,474.885
WLD,BUY,LIMIT,IOC,13,1.7307951,1.7213538,FILLED,2,13,1723220476204,22.5003363
BTC,BUY,LIMIT,IOC,0.015,60453.45,60224.00,FILLED,0.015,0.015,1723220476234,906.80175
SUI,BUY,LIMIT,IOC,118.9,0.869418,0.861200,FILLED,37.5,118.9,1723220476234,103.3738002
TON,BUY,LIMIT,IOC,29.7,6.8612984,6.7607000,FILLED,29.7,29.7,1723220476234,203.78056248
1000PEPE,BUY,LIMIT,IOC,35502,0.0085109,0.0084659,FILLED,7503,35502,1723220476234,302.1539718
BB,BUY,LIMIT,IOC,168,0.3258715,0.3213000,FILLED,131,168,1723220476263,54.746412
SAGA,BUY,LIMIT,IOC,56.6,1.2832375,1.2655579,FILLED,32.8,56.6,1723220476409,72.6312425
TIA,BUY,LIMIT,IOC,51,5.7794301,5.7252000,FILLED,17,51,1723220476487,294.7509351
ADA,BUY,LIMIT,IOC,93,0.34549,0.34390,FILLED,93,93,1723220477219,32.13057
1000PEPE,BUY,LIMIT,IOC,16820,0.0085189,0.0084677,FILLED,10833,16820,1723220478052,143.28789799999998
ZEN,BUY,LIMIT,IOC,7.3,8.629,8.510,FILLED,5.4,7.3,1723220478256,62.991699999999994
SAGA,BUY,LIMIT,IOC,130.5,1.2837605,1.2663000,FILLED,130.5,130.5,1723220478266,167.53074525000002
BCH,BUY,LIMIT,IOC,0.599,348.31,346.57,FILLED,0.599,0.599,1723220478549,208.63769
SOL,BUY,LIMIT,IOC,9,153.3783,152.6810,FILLED,7,9,1723220479274,1380.4047
SUI,BUY,LIMIT,IOC,1693.3,0.869801,0.861700,FILLED,418.6,1693.3,1723220479437,1472.8340333
BTC,BUY,LIMIT,IOC,0.052,60474.86,60249.10,FILLED,0.052,0.052,1723220480042,3144.69272
BTCUSDC,BUY,LIMIT,IOC,0.006,60486.9,60254.6,FILLED,0.006,0.006,1723220480260,362.9214
SOL,BUY,LIMIT,IOC,15,153.4308,152.6710,FILLED,14,15,1723220480367,2301.462
1000PEPE,BUY,LIMIT,IOC,60000,0.0085247,0.0084708,FILLED,60000,60000,1723220480387,511.48199999999997
BTC,BUY,LIMIT,IOC,0.002,60490.89,60237.60,FILLED,0.002,0.002,1723220481088,120.98178
WLD,BUY,LIMIT,IOC,2919,1.7318986,1.7217850,FILLED,157,2919,1723220481207,5055.4120134
ETH,BUY,LIMIT,IOC,0.222,2595.76,2585.26,FILLED,0.173,0.222,1723220481212,576.25872
ZRO,BUY,LIMIT,IOC,20.0,3.5446178,3.4970000,FILLED,5.0,20.0,1723220481282,70.892356
PEOPLE,BUY,LIMIT,IOC,1499,0.06035,0.05948,FILLED,343,1499,1723220481435,90.46465
SOL,BUY,LIMIT,IOC,3,153.4463,152.6880,FILLED,3,3,1723220482170,460.3389
WIF,BUY,LIMIT,IOC,235.5,1.8260054,1.7985000,FILLED,235.5,235.5,1723220483480,430.0242717
ADA,BUY,LIMIT,IOC,20,0.34577,0.34400,FILLED,20,20,1723220485170,6.9154
CFX,BUY,LIMIT,IOC,32570,0.1402562,0.1389078,FILLED,314,32570,1723220486520,4568.144434
TOKEN,SELL,LIMIT,IOC,3258,0.0718963,0.0729500,FILLED,2658,3258,1723220503164,234.23814539999998
NOT,SELL,LIMIT,IOC,47238,0.0114162,0.0115810,FILLED,954,47238,1723220544536,539.2784556
NOT,SELL,LIMIT,IOC,68869,0.0114099,0.0115740,FILLED,12498,68869,1723220549344,785.7884031000001
MEW,SELL,LIMIT,IOC,4204,0.0050592,0.0051270,FILLED,4204,4204,1723220570087,21.268876799999997
JTO,SELL,LIMIT,IOC,1082,2.718034,2.757336,FILLED,147,1082,1723220570216,2940.9127879999996
IO,SELL,LIMIT,IOC,122.8,1.6442762,1.6690000,FILLED,122.8,122.8,1723220572286,201.91711736
BTC,SELL,LIMIT,IOC,0.123,59745.78,59956.60,FILLED,0.123,0.123,1723220578257,7348.7309399999995
MEW,SELL,LIMIT,IOC,30093,0.0050481,0.0051180,FILLED,30093,30093,1723220578363,151.9124733
MEW,SELL,LIMIT,IOC,58057,0.0050462,0.0051180,FILLED,13417,58057,1723220579538,292.9672334
SAGA,SELL,LIMIT,IOC,1024.0,1.2373134,1.2552166,FILLED,232.1,1024.0,1723220581112,1267.0089216
BTC,SELL,LIMIT,IOC,0.008,59721.31,59928.50,FILLED,0.005,0.008,1723220583141,477.77047999999996
ETH,SELL,LIMIT,IOC,19.329,2564.66,2572.65,FILLED,0.576,19.329,1723220583163,49572.31314
WIF,SELL,LIMIT,IOC,167.4,1.7567481,1.7819892,FILLED,2.4,167.4,1723220584202,294.07963194
SAGA,SELL,LIMIT,IOC,83.5,1.2364188,1.2547000,FILLED,83.5,83.5,1723220584477,103.2409698
ETH,SELL,LIMIT,IOC,1.479,2562.81,2571.04,FILLED,1.479,1.479,1723220585091,3790.39599
BTC,SELL,LIMIT,IOC,0.045,59708.71,59915.50,FILLED,0.045,0.045,1723220585091,2686.8919499999997
NOT,SELL,LIMIT,IOC,30356,0.0113809,0.0115470,FILLED,30356,30356,1723220585145,345.4786004
MEW,SELL,LIMIT,IOC,169556,0.0050382,0.0051140,FILLED,20834,169556,1723220586086,854.2570391999999
ETHFI,SELL,LIMIT,IOC,3.5,1.4460848,1.4660000,FILLED,3.5,3.5,1723220586284,5.0612968
XAI,SELL,LIMIT,IOC,1110,0.2221775,0.2255000,FILLED,1110,1110,1723220587262,246.617025
TOKEN,SELL,LIMIT,IOC,355,0.0716371,0.0724700,FILLED,355,355,1723220587263,25.431170499999997
BTC,SELL,LIMIT,IOC,0.167,59672.83,59876.50,FILLED,0.167,0.167,1723220588102,9965.36261
1000SATS,SELL,LIMIT,IOC,341371,0.0002366,0.0002398,FILLED,341371,341371,1723220588249,80.7683786
TURBO,SELL,LIMIT,IOC,5353,0.0038359,0.0038880,FILLED,5352,5353,1723220588309,20.5335727
ETH,SELL,LIMIT,IOC,0.198,2559.87,2570.57,FILLED,0.058,0.198,1723220589056,506.85426
ETHUSDC,SELL,LIMIT,IOC,1.409,2561.54,2571.69,FILLED,0.010,1.409,1723220589362,3609.20986
XRP,SELL,LIMIT,IOC,3542.0,0.5712,0.5741,FILLED,3542.0,3542.0,1723220589487,2023.1904000000002
BTC,SELL,LIMIT,IOC,0.076,59647.58,59890.20,FILLED,0.076,0.076,1723220589487,4533.21608
SOL,SELL,LIMIT,IOC,15,151.1229,151.8330,FILLED,15,15,1723220589487,2266.8435
TOKEN,SELL,LIMIT,IOC,4583,0.0715407,0.0724882,FILLED,794,4583,1723220595474,327.8710281
ZEC,BUY,LIMIT,IOC,576.169,39.87,39.31,FILLED,16.016,576.169,1723220627227,22971.85803
MEW,SELL,LIMIT,IOC,928250,0.0050383,0.0051116,FILLED,136836,928250,1723220627227,4676.801975
XRP,SELL,LIMIT,IOC,8631.4,0.5737,0.5743,FILLED,2484.4,8631.4,1723220627227,4951.83418
TOKEN,SELL,LIMIT,IOC,516,0.0713772,0.0724800,FILLED,185,516,1723220644231,36.8306352
WIF,SELL,LIMIT,IOC,44.6,1.7539470,1.7798000,FILLED,5.7,44.6,1723220668245,78.2260362
XRP,BUY,LIMIT,IOC,109.9,0.5815,0.5792,FILLED,109.9,109.9,1723220668272,63.906850000000006
ONT,SELL,LIMIT,IOC,2134.4,0.1614,0.1639,FILLED,2134.4,2134.4,1723220668541,344.49216
XRP,BUY,LIMIT,IOC,401.8,0.5818,0.5790,FILLED,401.8,401.8,1723220669373,233.76724
BTC,SELL,LIMIT,IOC,0.027,59645.98,59884.10,FILLED,0.027,0.027,1723220672356,1610.44146
BTC,SELL,LIMIT,IOC,0.041,59640.28,59835.30,FILLED,0.041,0.041,1723220679338,2445.25148
BTCUSDC,SELL,LIMIT,IOC,0.089,59652.8,59850.8,FILLED,0.089,0.089,1723220679460,5309.0992
BTC,SELL,LIMIT,IOC,0.020,59606.44,59826.72,FILLED,0.015,0.020,1723220680376,1192.1288000000002
BTC,SELL,LIMIT,IOC,0.009,59592.91,59820.00,FILLED,0.009,0.009,1723220682119,536.33619
BTC,SELL,LIMIT,IOC,0.008,59568.10,59789.90,FILLED,0.008,0.008,1723220685069,476.5448
BTC,SELL,LIMIT,IOC,0.047,59557.67,59784.00,FILLED,0.047,0.047,1723220687207,2799.21049
