datetime,open,high,low,close,volume
2022-09-17 09:00:00,0.7398,0.7398,0.7376,0.7384,12925.69
2022-09-17 10:00:00,0.7385,0.739,0.7335,0.736,17882.96
2022-09-17 11:00:00,0.736,0.7363,0.7335,0.7343,38489.56
2022-09-17 12:00:00,0.734,0.7386,0.734,0.7382,46751.34
2022-09-17 13:00:00,0.7384,0.744,0.7378,0.7421,59524.25
2022-09-17 14:00:00,0.7421,0.7483,0.7421,0.7478,61499.36
2022-09-17 15:00:00,0.7481,0.7481,0.7452,0.7471,29643.08
2022-09-17 16:00:00,0.7477,0.7514,0.7469,0.7488,93543.26
2022-09-17 17:00:00,0.7497,0.751,0.7473,0.7489,49241.08
2022-09-17 18:00:00,0.749,0.7501,0.7461,0.7464,41308.88
2022-09-17 19:00:00,0.7466,0.747,0.744,0.7459,74755.88
2022-09-17 20:00:00,0.7457,0.7499,0.7454,0.7493,50747.73
2022-09-17 21:00:00,0.7491,0.7513,0.7475,0.7484,61212.01
2022-09-17 22:00:00,0.748,0.7522,0.7477,0.7514,85007.15
2022-09-17 23:00:00,0.7512,0.754,0.7505,0.7518,86375.57
2022-09-18 00:00:00,0.752,0.753,0.7471,0.748,91206.54
2022-09-18 01:00:00,0.7479,0.75,0.7467,0.7486,66100.4
2022-09-18 02:00:00,0.7485,0.7525,0.7479,0.7498,58579.99
2022-09-18 03:00:00,0.7495,0.7503,0.744,0.7452,62310.17
2022-09-18 04:00:00,0.7456,0.749,0.7456,0.7486,21195.54
2022-09-18 05:00:00,0.7488,0.7519,0.7484,0.7514,35180.84
2022-09-18 06:00:00,0.7512,0.753,0.7502,0.7511,31201.8
2022-09-18 07:00:00,0.7513,0.752,0.7493,0.751,50603.44
2022-09-18 08:00:00,0.7512,0.7545,0.7504,0.7533,29403.16
2022-09-18 09:00:00,0.7533,0.755,0.7361,0.737,153791.55
2022-09-18 10:00:00,0.7368,0.7458,0.7365,0.7407,88275.67
2022-09-18 11:00:00,0.7404,0.7448,0.7402,0.7424,33188.92
2022-09-18 12:00:00,0.7422,0.7461,0.7392,0.7461,44433.67
2022-09-18 13:00:00,0.746,0.7464,0.7428,0.7447,51332.09
2022-09-18 14:00:00,0.7448,0.7453,0.7348,0.7374,133728.35
2022-09-18 15:00:00,0.7372,0.7405,0.7361,0.7381,59897.69
2022-09-18 16:00:00,0.7377,0.7396,0.7291,0.7342,202502.76
2022-09-18 17:00:00,0.7332,0.7346,0.7253,0.7277,168947.09
2022-09-18 18:00:00,0.7275,0.7327,0.7259,0.7289,192590.73
2022-09-18 19:00:00,0.7287,0.733,0.7271,0.73,117690.56
2022-09-18 20:00:00,0.73,0.7306,0.7243,0.7258,94523.75
2022-09-18 21:00:00,0.7258,0.7263,0.6958,0.7078,731661.07
2022-09-18 22:00:00,0.7075,0.71,0.6989,0.7084,298954.63
2022-09-18 23:00:00,0.7082,0.7134,0.7008,0.7041,565052.28
2022-09-19 00:00:00,0.7036,0.7152,0.7016,0.7119,348794.99
2022-09-19 01:00:00,0.7116,0.7157,0.7073,0.7098,100867.79
2022-09-19 02:00:00,0.7098,0.71,0.6859,0.6936,898955.61
2022-09-19 03:00:00,0.6934,0.6966,0.6888,0.6933,398652.16
2022-09-19 04:00:00,0.6935,0.7055,0.6927,0.7038,159598.86
2022-09-19 05:00:00,0.7038,0.7076,0.6999,0.7014,199553.06
2022-09-19 06:00:00,0.7011,0.7047,0.693,0.6978,193501.67
2022-09-19 07:00:00,0.6973,0.7045,0.6931,0.7038,115154.97
2022-09-19 08:00:00,0.7037,0.7048,0.6968,0.6977,124338.01
2022-09-19 09:00:00,0.6974,0.7043,0.695,0.7034,74764.59
2022-09-19 10:00:00,0.7033,0.7127,0.703,0.7117,141370.58
2022-09-19 11:00:00,0.7112,0.7121,0.7067,0.7101,91568.26
2022-09-19 12:00:00,0.7099,0.7173,0.7083,0.7149,93972.73
2022-09-19 13:00:00,0.7153,0.7241,0.7132,0.7217,209254.9
2022-09-19 14:00:00,0.7219,0.7271,0.7191,0.7211,208714.08
2022-09-19 15:00:00,0.7206,0.7231,0.7157,0.7171,359899.09
2022-09-19 16:00:00,0.7174,0.7214,0.715,0.7209,106390.9
2022-09-19 17:00:00,0.7207,0.7214,0.7117,0.7156,175692.31
2022-09-19 18:00:00,0.7156,0.7247,0.7156,0.7243,117522.2
2022-09-19 19:00:00,0.7242,0.7314,0.7242,0.7291,163009.24
2022-09-19 20:00:00,0.7292,0.7311,0.7242,0.725,166469.56
2022-09-19 21:00:00,0.725,0.7319,0.7248,0.7274,96423.9
2022-09-19 22:00:00,0.7278,0.7316,0.7258,0.7291,255954.21
2022-09-19 23:00:00,0.7289,0.7303,0.7254,0.7268,239404.21
2022-09-20 00:00:00,0.7267,0.7337,0.7242,0.7258,326639.87
2022-09-20 01:00:00,0.7258,0.7276,0.7239,0.7259,144488.05
2022-09-20 02:00:00,0.726,0.7294,0.7225,0.7292,107505.29
2022-09-20 03:00:00,0.729,0.7299,0.7188,0.7263,175334.21
2022-09-20 04:00:00,0.7266,0.7275,0.7237,0.7261,69083.08
2022-09-20 05:00:00,0.726,0.7314,0.725,0.7254,69687.99
2022-09-20 06:00:00,0.7254,0.7257,0.7218,0.7256,80597.11
2022-09-20 07:00:00,0.7256,0.7327,0.7235,0.7263,260019.94
2022-09-20 08:00:00,0.7262,0.7289,0.7235,0.7243,96605.9
2022-09-20 09:00:00,0.7241,0.725,0.7178,0.7199,200857.65
2022-09-20 10:00:00,0.7197,0.722,0.7173,0.7215,119950.71
2022-09-20 11:00:00,0.7214,0.7232,0.7175,0.7187,96923.82
2022-09-20 12:00:00,0.7187,0.7209,0.7162,0.7178,116064.76
2022-09-20 13:00:00,0.718,0.7189,0.7064,0.7116,461536.33
2022-09-20 14:00:00,0.7116,0.7166,0.706,0.7161,303473.08
2022-09-20 15:00:00,0.7159,0.7215,0.7136,0.7205,536727.32
2022-09-20 16:00:00,0.7207,0.7225,0.7154,0.7165,240618.83
2022-09-20 17:00:00,0.7162,0.7176,0.7061,0.7074,451819.9
2022-09-20 18:00:00,0.7082,0.7114,0.7042,0.7103,155350.31
2022-09-20 19:00:00,0.7105,0.7131,0.7082,0.7104,176300.67
2022-09-20 20:00:00,0.7108,0.7134,0.7071,0.708,124838.22
2022-09-20 21:00:00,0.7079,0.7115,0.7041,0.7046,123765.31
2022-09-20 22:00:00,0.7046,0.7106,0.7043,0.7099,197366.39
2022-09-20 23:00:00,0.7102,0.7103,0.7033,0.7068,118500.12
2022-09-21 00:00:00,0.7069,0.712,0.7044,0.7108,139607.64
2022-09-21 01:00:00,0.7109,0.7119,0.707,0.7071,85445.27
2022-09-21 02:00:00,0.7076,0.7141,0.7076,0.712,116500.78
2022-09-21 03:00:00,0.7118,0.7133,0.7099,0.7102,127946.54
2022-09-21 04:00:00,0.7102,0.7133,0.7101,0.7132,66206.27
2022-09-21 05:00:00,0.7132,0.7141,0.7061,0.7075,138726.09
2022-09-21 06:00:00,0.7074,0.7102,0.6906,0.6948,268486.99
2022-09-21 07:00:00,0.695,0.6979,0.6906,0.6974,86802.14
2022-09-21 08:00:00,0.6976,0.6998,0.6952,0.6984,146469.61
2022-09-21 09:00:00,0.6985,0.703,0.6953,0.7028,96216.44
2022-09-21 10:00:00,0.7029,0.7078,0.7016,0.7072,70255.64
2022-09-21 11:00:00,0.7075,0.7111,0.7071,0.71,116048.8
2022-09-21 12:00:00,0.7102,0.7149,0.7096,0.711,136145.42
2022-09-21 13:00:00,0.7114,0.712,0.708,0.7089,101287.72
2022-09-21 14:00:00,0.709,0.7117,0.7037,0.7046,76112.91
2022-09-21 15:00:00,0.7045,0.7052,0.6991,0.7018,75932.82
2022-09-21 16:00:00,0.7017,0.7067,0.7017,0.703,59680.14
2022-09-21 17:00:00,0.7032,0.7186,0.7023,0.7186,338191.67
2022-09-21 18:00:00,0.7189,0.74,0.6952,0.7341,1622667.41
2022-09-21 19:00:00,0.7345,0.7371,0.7043,0.7047,537646.78
2022-09-21 20:00:00,0.7045,0.7067,0.6925,0.699,1009414.59
2022-09-21 21:00:00,0.6989,0.699,0.6718,0.6799,574764.31
2022-09-21 22:00:00,0.6799,0.6811,0.6689,0.6786,326339.58
2022-09-21 23:00:00,0.6779,0.6851,0.6768,0.6806,218751.0
2022-09-22 00:00:00,0.6803,0.6877,0.6802,0.682,98817.59
2022-09-22 01:00:00,0.682,0.6892,0.6816,0.6892,147754.64
2022-09-22 02:00:00,0.6885,0.6928,0.6873,0.692,123924.22
2022-09-22 03:00:00,0.6922,0.6953,0.6901,0.6947,118902.79
2022-09-22 04:00:00,0.6948,0.6975,0.6943,0.6962,107927.0
2022-09-22 05:00:00,0.6966,0.6995,0.6943,0.6989,105173.33
2022-09-22 06:00:00,0.699,0.7006,0.6953,0.6981,104045.74
2022-09-22 07:00:00,0.6978,0.7048,0.6973,0.7048,44071.48
2022-09-22 08:00:00,0.7052,0.7111,0.7044,0.7073,94243.63
2022-09-22 09:00:00,0.7078,0.7103,0.7066,0.7078,70448.42
2022-09-22 10:00:00,0.7084,0.7111,0.7066,0.7092,166662.46
2022-09-22 11:00:00,0.709,0.7128,0.7062,0.7128,86949.95
2022-09-22 12:00:00,0.7129,0.715,0.7073,0.7113,221974.33
2022-09-22 13:00:00,0.7116,0.7151,0.702,0.7036,359831.25
2022-09-22 14:00:00,0.7035,0.7087,0.6997,0.7006,375150.53
2022-09-22 15:00:00,0.7005,0.7041,0.6976,0.7029,130963.67
2022-09-22 16:00:00,0.703,0.7085,0.6972,0.7078,137964.42
2022-09-22 17:00:00,0.7077,0.7102,0.7031,0.7089,153167.82
2022-09-22 18:00:00,0.7095,0.7133,0.7056,0.7099,147611.79
2022-09-22 19:00:00,0.71,0.7191,0.7097,0.714,128360.06
2022-09-22 20:00:00,0.7145,0.7183,0.714,0.7166,132780.34
2022-09-22 21:00:00,0.7165,0.7187,0.7123,0.7138,50556.33
2022-09-22 22:00:00,0.7135,0.7211,0.7135,0.7185,255181.27
2022-09-22 23:00:00,0.7187,0.726,0.7182,0.721,101345.42
2022-09-23 00:00:00,0.7209,0.7285,0.7182,0.7186,67104.07
2022-09-23 01:00:00,0.7194,0.7244,0.7164,0.7241,71672.54
2022-09-23 02:00:00,0.7245,0.7247,0.7188,0.7224,41206.83
2022-09-23 03:00:00,0.723,0.7315,0.7229,0.7283,273248.52
2022-09-23 04:00:00,0.7288,0.734,0.7256,0.7285,97786.97
2022-09-23 05:00:00,0.7289,0.7324,0.7288,0.7291,37751.67
2022-09-23 06:00:00,0.7291,0.7324,0.7283,0.7304,129062.8
2022-09-23 07:00:00,0.7296,0.7296,0.7179,0.7187,109937.59
2022-09-23 08:00:00,0.7189,0.7211,0.7071,0.71,103352.12
2022-09-23 09:00:00,0.7095,0.7136,0.7057,0.7124,103720.2
2022-09-23 10:00:00,0.7116,0.7134,0.7021,0.7045,115124.32
2022-09-23 11:00:00,0.7044,0.7052,0.6986,0.7022,146644.27
2022-09-23 12:00:00,0.7024,0.7072,0.7014,0.7034,106348.53
2022-09-23 13:00:00,0.7033,0.7109,0.692,0.6931,289452.22
2022-09-23 14:00:00,0.6926,0.698,0.6892,0.6959,443402.6
2022-09-23 15:00:00,0.6956,0.7079,0.6942,0.702,147579.03
2022-09-23 16:00:00,0.7014,0.7024,0.6924,0.6995,169603.9
2022-09-23 17:00:00,0.6998,0.7029,0.6952,0.6989,138790.3
2022-09-23 18:00:00,0.6985,0.7032,0.6906,0.693,215302.73
2022-09-23 19:00:00,0.6926,0.7033,0.692,0.7024,201474.57
2022-09-23 20:00:00,0.7025,0.7191,0.7022,0.7139,417366.9
2022-09-23 21:00:00,0.7145,0.7215,0.7139,0.7215,100639.32
2022-09-23 22:00:00,0.7217,0.7262,0.7215,0.7247,268111.65
2022-09-23 23:00:00,0.7249,0.7268,0.7187,0.7202,155060.96
2022-09-24 00:00:00,0.7203,0.7268,0.7169,0.7231,140740.35
2022-09-24 01:00:00,0.723,0.7294,0.7217,0.7275,174628.1
2022-09-24 02:00:00,0.7275,0.7307,0.7238,0.7245,119178.81
2022-09-24 03:00:00,0.7245,0.7264,0.7195,0.7227,117046.01
2022-09-24 04:00:00,0.7227,0.726,0.7224,0.7255,84589.68
2022-09-24 05:00:00,0.7256,0.7267,0.7232,0.7263,75344.6
2022-09-24 06:00:00,0.7266,0.7277,0.7237,0.7247,93229.65
2022-09-24 07:00:00,0.7247,0.7251,0.7184,0.7211,111997.29
2022-09-24 08:00:00,0.7213,0.7253,0.7164,0.7251,114381.99
2022-09-24 09:00:00,0.7251,0.7267,0.7205,0.7234,62705.86
2022-09-24 10:00:00,0.7236,0.7239,0.7196,0.7218,48124.17
2022-09-24 11:00:00,0.7217,0.7246,0.7207,0.7209,102024.92
2022-09-24 12:00:00,0.7211,0.7263,0.7211,0.7248,62242.34
2022-09-24 13:00:00,0.7249,0.7272,0.7219,0.7231,63118.68
2022-09-24 14:00:00,0.7231,0.7252,0.7219,0.7233,76846.19
2022-09-24 15:00:00,0.7235,0.7243,0.7215,0.7239,57394.7
2022-09-24 16:00:00,0.7241,0.7253,0.7221,0.723,65668.11
2022-09-24 17:00:00,0.723,0.7277,0.7216,0.7225,102065.07
2022-09-24 18:00:00,0.7219,0.7254,0.721,0.7244,60788.36
2022-09-24 19:00:00,0.7241,0.7243,0.7211,0.7217,46592.63
2022-09-24 20:00:00,0.7216,0.7241,0.7202,0.7234,82085.15
2022-09-24 21:00:00,0.7234,0.7236,0.7115,0.7147,104758.15
2022-09-24 22:00:00,0.7145,0.7145,0.706,0.7105,138511.76
2022-09-24 23:00:00,0.7099,0.7122,0.7047,0.7074,80436.27
2022-09-25 00:00:00,0.7073,0.7099,0.7054,0.7095,76305.75
2022-09-25 01:00:00,0.7093,0.7103,0.7071,0.7094,75905.7
2022-09-25 02:00:00,0.7094,0.7137,0.7086,0.713,44623.89
2022-09-25 03:00:00,0.713,0.7182,0.7098,0.7182,63522.89
2022-09-25 04:00:00,0.7182,0.7182,0.7148,0.7156,49343.73
2022-09-25 05:00:00,0.7153,0.7157,0.7096,0.7123,72037.76
2022-09-25 06:00:00,0.7123,0.7138,0.7114,0.7122,61479.95
2022-09-25 07:00:00,0.7125,0.7153,0.7104,0.713,49743.79
2022-09-25 08:00:00,0.7132,0.7135,0.7113,0.713,41838.33
2022-09-25 09:00:00,0.7128,0.7141,0.7091,0.7109,40125.92
2022-09-25 10:00:00,0.7106,0.7119,0.7072,0.7113,40919.47
2022-09-25 11:00:00,0.7114,0.7138,0.711,0.7128,62816.61
2022-09-25 12:00:00,0.7127,0.715,0.7103,0.7105,54804.49
2022-09-25 13:00:00,0.7103,0.7103,0.7003,0.7034,143108.69
2022-09-25 14:00:00,0.7031,0.7039,0.6987,0.7023,82418.2
2022-09-25 15:00:00,0.702,0.7055,0.7017,0.7039,83440.39
2022-09-25 16:00:00,0.704,0.7081,0.7005,0.7015,93360.07
2022-09-25 17:00:00,0.7013,0.7043,0.6947,0.7035,160164.8
2022-09-25 18:00:00,0.7031,0.7076,0.7004,0.7055,57456.45
2022-09-25 19:00:00,0.7055,0.7068,0.7025,0.7029,58553.6
2022-09-25 20:00:00,0.7029,0.7037,0.7002,0.7012,69576.72
2022-09-25 21:00:00,0.7012,0.7029,0.6937,0.6955,115428.35
2022-09-25 22:00:00,0.6953,0.7026,0.6905,0.6969,145314.45
2022-09-25 23:00:00,0.6969,0.7011,0.6946,0.698,104078.26
2022-09-26 00:00:00,0.6976,0.7042,0.6916,0.6924,144422.01
2022-09-26 01:00:00,0.6924,0.6987,0.6888,0.6981,142781.71
2022-09-26 02:00:00,0.698,0.7013,0.6943,0.6945,74264.43
2022-09-26 03:00:00,0.6945,0.6982,0.6917,0.694,78228.19
